designacao,cre,alf_le_resultado,alf_le_meta_2026,alf_le_crescimento_esperado,alf_mat_resultado,alf_mat_meta_2026,alf_mat_crescimento_esperado,iderio_4_resultado,iderio_4_meta_2026,iderio_4_crescimento_esperado,iderio_5_resultado,iderio_5_meta_2026,iderio_5_crescimento_esperado,indicador_rendimento_ai_resultado,indicador_rendimento_ai_meta_2026,indicador_rendimento_ai_crescimento_esperado,iderio_8_resultado,iderio_8_meta_2026,iderio_8_crescimento_esperado,iderio_9_resultado,iderio_9_meta_2026,iderio_9_crescimento_esperado,indicador_rendimento_af_resultado,indicador_rendimento_af_meta_2026,indicador_rendimento_af_crescimento_esperado
208021,2,93.0,93.0,0.0,93.0,94.0,1.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
208022,2,59.0,64.0,5.0,96.0,96.0,0.0,5.8,6.0,0.2,5.7,6.4,0.7,,,,,,,,,,,,
208023,2,,,,,,,,,,,,,,,,4.4,5.0,0.6,4.7,5.4,0.7,,,
208501,2,47.0,54.0,7.0,61.0,65.0,4.0,4.7,5.3,0.6,5.7,6.4,0.7,,,,,,,,,,,,
208502,2,82.0,84.0,2.0,91.0,92.0,1.0,5.3,5.8,0.5,6.4,6.8,0.4,,,,,,,,,,,,
209001,2,93.0,93.0,0.0,93.0,94.0,1.0,6.4,6.2,0.0,7.3,7.4,0.1,,,,,,,,,,,,
209004,2,90.0,91.0,1.0,100.0,100.0,0.0,6.5,6.2,0.0,6.4,6.9,0.5,,,,,,,,,,,,
209005,2,95.0,95.0,0.0,81.0,83.0,2.0,5.7,6.0,0.3,7.1,7.3,0.2,,,,,,,,,,,,
209006,2,83.0,85.0,2.0,96.0,96.0,0.0,6.8,6.5,0.0,8.5,8.2,0.0,,,,,,,,,,,,
209007,2,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.7,5.3,0.6,,,
209008,2,,,,,,,,,,,,,,,,5.5,5.6,0.1,5.8,5.9,0.1,,,
209009,2,84.0,86.0,2.0,78.0,81.0,3.0,6.0,6.1,0.1,5.8,6.4,0.6,,,,3.9,4.7,0.8,4.3,5.2,0.9,,,
209010,2,65.0,70.0,5.0,76.0,79.0,3.0,5.0,5.6,0.6,5.2,6.0,0.8,,,,4.4,4.9,0.5,5.2,5.5,0.3,,,
209011,2,65.0,70.0,5.0,86.0,88.0,2.0,5.1,5.7,0.6,6.1,6.6,0.5,,,,,,,,,,,,
209012,2,69.0,73.0,4.0,96.0,96.0,0.0,5.5,5.9,0.4,5.4,6.1,0.7,,,,,,,,,,,,
